PR,merge_sha,merge_date,run_sha,run_date,latency
15243,907716fdf2,2019-02-05T00:11:17+00:00,6374b9ac6b,2019-02-06T22:53:18.421451Z,2802.02369085
15244,8f48bdf110,2019-02-04T23:34:53+00:00,8f48bdf110,2019-02-05T19:57:56.721816Z,1223.0620302666669
15245,dcc3641354,2019-02-07T19:17:16+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,1643.4266458666668
15246,7a3ca09119,2019-02-05T10:18:09+00:00,6374b9ac6b,2019-02-06T22:53:18.421451Z,2195.1570241833333
15247,5692bc8fe5,2019-02-07T19:40:48+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,1619.8933125333335
15248,edc48a7c12,2019-02-05T15:22:20+00:00,6374b9ac6b,2019-02-06T22:53:18.421451Z,1890.9736908500001
15249,5a406c55ff,2019-02-05T15:35:39+00:00,6374b9ac6b,2019-02-06T22:53:18.421451Z,1877.6570241833333
15251,8ecb503bc7,2019-02-08T21:47:23+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,1497.6536262666666
15252,77f3ead370,2019-02-05T20:10:16+00:00,6374b9ac6b,2019-02-06T22:53:18.421451Z,1603.0403575166667
15253,ee48c1a615,2019-02-07T03:38:13+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,2582.4766458666663
15255,9830c5ab11,2019-02-06T17:13:27+00:00,362afa34cb,2019-02-07T22:46:37.229603Z,1773.1704933833332
15256,0b594535b4,2019-02-08T08:11:57+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,2313.0869596
15257,16057e18d4,2019-02-06T02:38:30+00:00,362afa34cb,2019-02-07T22:46:37.229603Z,2648.1204933833337
15258,01e5f08719,2019-02-09T18:08:35+00:00,01e5f08719,2019-02-10T22:52:16.194885Z,1723.6865814166667
15259,71d0b286d5,2019-02-06T05:26:47+00:00,362afa34cb,2019-02-07T22:46:37.229603Z,2479.8371600500004
15260,d2c49d8610,2019-02-06T07:23:48+00:00,362afa34cb,2019-02-07T22:46:37.229603Z,2362.8204933833335
15263,c815526cd9,2019-02-07T02:51:33+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,2629.1433125333333
15265,ef3594e17b,2019-02-06T19:53:34+00:00,362afa34cb,2019-02-07T22:46:37.229603Z,1613.0538267166667
15266,9b2355cc88,2019-02-06T19:35:39+00:00,362afa34cb,2019-02-07T22:46:37.229603Z,1630.9704933833334
15267,8ed6468756,2019-02-12T12:06:41+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4632.5952511666665
15268,ae6d563086,2019-02-11T19:18:16+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4560.2461452
15269,a21675eb29,2019-02-07T18:52:51+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,1667.8433125333333
15270,91d81bb73d,2019-02-12T18:47:56+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4231.3452511666665
15271,e3c6710451,2019-02-10T09:16:16+00:00,48b9be82df,2019-02-11T22:45:16.175894Z,2249.002931566667
15272,b6dd288d78,2019-02-07T00:35:10+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,2765.5266458666665
15273,56f29c8b1f,2019-02-07T14:28:58+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,1931.7266458666668
15274,3960963a0f,2019-02-07T07:35:24+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,2345.2933125333334
15276,22400f9755,2019-02-18T18:59:25+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,2533.6606072833333
15277,156d195398,2019-02-07T14:51:33+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,1909.1433125333335
15278,313a26544d,2019-02-07T14:33:56+00:00,5692bc8fe5,2019-02-08T22:40:41.598752Z,1926.7599792
15279,345300fad3,2019-02-09T01:09:03+00:00,01e5f08719,2019-02-10T22:52:16.194885Z,2743.21991475
15280,8320b02221,2019-02-11T12:44:08+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4954.379478533333
15281,7d5d8b89ab,2019-02-08T17:17:54+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,1767.1369596
15283,ba78e657cb,2019-02-08T00:23:46+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,2781.270292933333
15284,aa6f52fc7b,2019-02-11T14:24:46+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4853.7461452
15285,9cd1c29708,2019-02-08T00:27:16+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,2777.770292933333
15286,ead8f8b00d,2019-02-08T00:30:13+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,2774.8202929333333
15287,374bcf2e5a,2019-02-08T19:36:07+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,1628.9202929333333
15291,38eacbd707,2019-02-08T09:48:26+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,2216.6036262666667
15294,725876f98d,2019-02-11T15:20:06+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4798.412811866667
15295,7451c0c0cf,2019-02-08T15:25:50+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,1879.2036262666666
15296,290e4d77cd,2019-02-13T11:11:12+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4656.39745375
15297,4ec94cca5a,2019-02-08T15:09:01+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,1896.0202929333332
15298,e2dd57c3f2,2019-02-08T16:15:01+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,1830.0202929333332
15300,f84a067164,2019-02-08T20:26:45+00:00,7179024d5d,2019-02-09T22:45:02.217576Z,1578.2869595999998
15306,a7498ddcfe,2019-02-09T01:02:26+00:00,01e5f08719,2019-02-10T22:52:16.194885Z,2749.836581416667
15307,bed00940ce,2019-02-11T23:24:06+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4314.412811866667
15310,93ba0d30fa,2019-02-13T21:02:03+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4065.54745375
15312,35bd69423b,2019-02-11T22:56:32+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4341.979478533333
15313,46e8fe1d71,2019-02-18T22:39:22+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,2313.7106072833335
15314,48b9be82df,2019-02-10T09:47:26+00:00,48b9be82df,2019-02-11T22:45:16.175894Z,2217.8362649
15315,5852f617c1,2019-02-13T01:07:38+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,5259.964120416666
15317,edbcef5df6,2019-02-11T13:35:29+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4903.0294785333335
15320,9268e46bb7,2019-02-18T06:05:39+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,3307.42727395
15321,1e29498a87,2019-02-18T06:06:22+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,3306.7106072833335
15322,bf30940041,2019-02-12T16:07:17+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4391.995251166666
15323,91b5bfb7a2,2019-02-11T12:53:38+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4944.879478533333
15324,ee563ea4a1,2019-02-11T11:12:56+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,5045.579478533333
15328,6d9e199e99,2019-02-11T15:39:14+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4779.2794785333335
15329,803f7f06d6,2019-02-12T15:50:29+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4408.795251166666
15330,23008e948b,2019-02-11T15:58:20+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4760.179478533333
15331,e06d72647e,2019-02-11T16:26:44+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4731.7794785333335
15332,e6645a4109,2019-02-13T18:32:45+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4214.84745375
15334,bac4db35ea,2019-02-12T16:46:52+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4352.411917833333
15335,bbe1144015,2019-02-14T17:29:38+00:00,0bd21dbf16,2019-02-17T15:28:14.585499Z,4198.609758316667
15337,e2eb25aaa6,2019-02-11T23:29:47+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4308.729478533333
15339,0de6fa5638,2019-02-11T23:29:36+00:00,e2eb25aaa6,2019-02-14T23:18:30.768712Z,4308.912811866667
15340,265330b7d2,2019-02-12T02:56:51+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,5182.4285844999995
15341,809890ad1f,2019-02-12T19:58:45+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4160.5285845
15342,00d0131bfc,2019-02-12T23:40:32+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,3938.7452511666665
15343,2647e1e8f6,2019-02-13T05:42:49+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4984.780787083333
15344,109654d256,2019-02-12T18:00:48+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4278.4785845
15345,23aa71fddb,2019-02-13T02:50:18+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,5157.2974537499995
15346,88cb9e7462,2019-02-12T17:26:42+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4312.5785845
15347,d1cdca0811,2019-02-12T11:12:34+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4686.711917833333
15348,86bfe06b72,2019-02-13T13:00:17+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4547.314120416666
15350,8686e3e226,2019-02-12T17:23:09+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4316.1285845
15351,e98588d587,2019-02-12T12:12:37+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4626.661917833333
15353,f8a1bfbe54,2019-02-12T15:10:28+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4448.811917833333
15356,b44dacf7a9,2019-02-15T12:54:36+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,7218.47727395
15357,25c665a932,2019-02-12T14:23:57+00:00,8dbed22314,2019-02-15T17:19:16.71507Z,4495.3285845
15358,d1f77cdd37,2019-02-13T14:02:22+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4485.230787083333
15359,14b470e2e0,2019-02-15T17:40:51+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,6932.22727395
15361,1fc9a5125f,2019-02-15T19:33:49+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,6819.260607283333
15362,2801597ed2,2019-02-15T10:50:30+00:00,46e8fe1d71,2019-02-20T13:13:04.636437Z,7342.57727395
15363,c18a2a4958,2019-02-13T13:22:51+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4524.747453749999
15364,0e4b1315e6,2019-02-13T01:47:11+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,5220.414120416666
15367,679777df34,2019-02-13T22:44:32+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,3963.064120416667
15368,92d1f6c0a3,2019-02-13T21:05:20+00:00,8f7ccae78b,2019-02-16T16:47:35.847225Z,4062.2641204166666
