PR,merge_sha,merge_date,run_sha,run_date,latency
20414,8037fe7f0d,2020-02-15T21:39:44+00:00,8037fe7f0d,2020-02-16T04:07:34.981552Z,387.8496925333333
20425,0ed072539a,2019-12-13T07:14:19+00:00,5b2b393469,2019-12-13T11:10:28.992031Z,236.16653385
20430,d1e3110108,2019-12-09T19:46:12+00:00,cfa7532fc6,2019-12-09T23:11:23.703063Z,205.19505105000002
20432,b5f3eafc45,2019-12-13T09:21:48+00:00,1f05d643d2,2019-12-13T14:09:54.192092Z,288.10320153333333
20433,d09507310d,2020-01-16T13:06:10+00:00,d71ba21d24,2020-01-16T20:14:56.408578Z,428.77347629999997
20449,e9e13796b2,2019-12-09T16:33:53+00:00,2424b16710,2019-12-09T20:08:20.290816Z,214.45484693333336
20459,e9fe7bf0c8,2019-12-20T19:12:59+00:00,c8158bdeea,2019-12-23T21:09:57.087803Z,4436.96813005
20465,4f24cabbe1,2019-12-31T02:52:01+00:00,4f24cabbe1,2019-12-31T05:14:32.850243Z,142.53083738333333
20472,fa41b43ac9,2019-12-10T06:41:44+00:00,fa41b43ac9,2019-12-10T11:18:02.368036Z,276.30613393333334
20479,26b20ac4d8,2019-12-12T15:20:44+00:00,5b46ea7c4f,2019-12-12T20:12:28.917185Z,291.74861975
20481,2f406468df,2020-02-20T16:05:26+00:00,845ce4ccd9,2020-02-20T20:23:16.38742Z,257.8397903333333
20491,b83efc6b6c,2019-12-09T15:24:59+00:00,2424b16710,2019-12-09T20:08:20.290816Z,283.35484693333336
20493,3a5dc6aeda,2019-12-13T03:24:59+00:00,3a5dc6aeda,2019-12-13T08:09:59.574181Z,285.0095696833333
20496,a35f8deed5,2019-12-09T16:45:53+00:00,2424b16710,2019-12-09T20:08:20.290816Z,202.45484693333336
20512,e2c5dc9693,2019-12-10T18:23:33+00:00,622d7254cb,2019-12-10T23:09:25.734114Z,285.87890189999996
20513,4295f5dd03,2019-12-10T18:28:47+00:00,622d7254cb,2019-12-10T23:09:25.734114Z,280.64556856666667
20526,578b1c621b,2019-12-19T04:23:38+00:00,1268bd5901,2019-12-19T08:14:24.411823Z,230.77353038333334
20530,99aa9f99e5,2020-01-16T19:26:43+00:00,99aa9f99e5,2020-01-16T23:11:46.803885Z,225.0633980833333
20538,ee531e859d,2019-12-09T15:34:03+00:00,2424b16710,2019-12-09T20:08:20.290816Z,274.2881802666667
20540,2424b16710,2019-12-09T17:59:41+00:00,2424b16710,2019-12-09T20:08:20.290816Z,128.65484693333332
20548,b3d44bad7d,2019-12-10T19:09:03+00:00,622d7254cb,2019-12-10T23:09:25.734114Z,240.37890190000002
20554,0ae74ec621,2019-12-19T11:16:47+00:00,0ae74ec621,2019-12-19T14:17:38.429188Z,180.85715313333333
20567,f313fc62bb,2019-12-16T21:07:11+00:00,59bdd50610,2019-12-17T02:13:07.685799Z,305.94476331666664
20570,c2b78d64f8,2019-12-09T15:12:47+00:00,2424b16710,2019-12-09T20:08:20.290816Z,295.55484693333335
20580,87dc041897,2019-12-23T10:56:33+00:00,e936890351,2019-12-24T02:53:40.912652Z,957.1318775333333
20593,92f0a8c485,2019-12-16T23:29:55+00:00,59bdd50610,2019-12-17T02:13:07.685799Z,163.21142998333335
20596,d09c77af12,2019-12-11T16:51:43+00:00,d09c77af12,2019-12-11T20:09:32.052429Z,197.81754048333332
20605,52acc76bca,2020-01-17T13:49:10+00:00,d61f8dfcd7,2020-01-17T20:11:31.540859Z,382.3590143166667
20606,c590dd2126,2019-12-09T17:33:18+00:00,2424b16710,2019-12-09T20:08:20.290816Z,155.03818026666667
20608,55d96b9fd3,2019-12-17T16:52:44+00:00,6d8d8ba820,2019-12-17T20:12:46.492927Z,200.04154878333333
20610,80b2a8f11a,2019-12-16T17:52:19+00:00,80b2a8f11a,2019-12-16T20:12:21.863037Z,140.04771728333333
20611,f1a4f8c34a,2019-12-13T15:41:55+00:00,eec0625cd0,2019-12-13T20:22:35.348943Z,280.6724823833334
20612,e92d611a3f,2019-12-09T16:54:39+00:00,2424b16710,2019-12-09T20:08:20.290816Z,193.68818026666668
20618,fefeaf1281,2020-01-10T20:34:11+00:00,fefeaf1281,2020-01-11T16:14:23.855027Z,1180.21425045
