Week,PRs,50%,90%,Mean,Meeting SLA
2017-17W,1,128080.16666666667,128080.16666666667,128080.16666666667,0.0
2017-23W,1,68084.333333333328,68084.333333333328,68084.333333333328,0.0
2017-25W,3,27565.833333333332,28744.139999999999,27678.466666666664,0.0
2017-26W,2,10183.15,18321.43,10183.15,0.5
2017-27W,11,405.03333333333336,895.68333333333328,670.5484848484848,0.27272727272727271
2017-28W,9,15.033333333333333,39.90666666666668,22.090740740740742,0.88888888888888884
2017-29W,10,11.175000000000001,127.85833333333315,75.786666666666662,0.80000000000000004
2017-30W,16,9.3416666666666668,25.766666666666666,136.44583333333333,0.9375
2017-31W,21,10.116666666666667,34.583333333333336,500.0460317460317,0.95238095238095233
2017-32W,19,10.466666666666667,1232.6866666666665,414.04473684210524,0.73684210526315785
2017-33W,22,10.458333333333332,2892.1350000000025,680.52272727272737,0.72727272727272729
2017-34W,18,19.841666666666669,44.75500000000001,65.362962962962953,0.94444444444444442
2017-35W,30,20.383333333333333,54.791666666666664,172.42111111111114,0.93333333333333335
2017-36W,21,26.699999999999999,106.28333333333333,120.55079365079365,0.80952380952380953
2017-37W,22,29.225000000000001,58.055,34.181060606060612,0.95454545454545459
2017-38W,12,27.558333333333334,76.533333333333331,37.756944444444436,0.75
2017-39W,14,32.774999999999999,297.90833333333342,107.83214285714284,0.7142857142857143
2017-40W,16,25.558333333333334,138.51666666666665,1025.60625,0.8125
2017-41W,16,30.25,1785.4000000000001,509.19166666666672,0.6875
2017-42W,20,29.258333333333333,82.093333333333462,244.48916666666668,0.84999999999999998
2017-43W,25,35.633333333333333,121.03666666666666,165.99066666666667,0.80000000000000004
2017-44W,10,21.633333333333333,246.15499999999923,236.79000000000002,0.90000000000000002
2017-45W,32,21.116666666666667,61.663333333333341,547.8203125,0.84375
2017-46W,25,25.633333333333333,45.463333333333331,29.684000000000001,0.95999999999999996
2017-47W,22,28.658333333333331,1770.2616666666672,476.00075757575763,0.68181818181818177
2017-48W,26,22.116666666666667,54.716666666666669,48.18141025641026,0.88461538461538458
2017-49W,34,23.708333333333332,41.548333333333332,26.850000000000001,1.0
2017-50W,29,25.116666666666667,37.460000000000001,30.408620689655169,0.93103448275862066
2017-51W,23,22.416666666666668,32.203333333333333,24.38623188405797,1.0
2017-52W,5,49.733333333333334,4954.9866666666676,1678.8866666666668,0.80000000000000004
2018-00W,21,18.5,41.133333333333333,30.854761904761908,0.95238095238095233
2018-01W,35,22.233333333333334,91.656666666666666,96.114761904761892,0.7142857142857143
2018-02W,44,99.075000000000003,3373.803333333341,759.74356060606067,0.40909090909090912
2018-03W,31,28.583333333333332,331.25,329.38494623655913,0.67741935483870963
2018-04W,67,33.416666666666664,147.84333333333333,1035.9684079601989,0.70149253731343286
2018-05W,40,28.850000000000001,50.50500000000001,32.752083333333339,0.92500000000000004
2018-06W,34,25.683333333333334,54.594999999999999,32.470588235294116,0.94117647058823528
2018-07W,48,33.916666666666671,106.55500000000004,172.42465277777777,0.66666666666666663
2018-08W,38,42.016666666666666,88.578333333333347,74.163596491228077,0.73684210526315785
2018-09W,11,85.349999999999994,888.91666666666663,282.46060606060604,0.45454545454545453
