PR,import_sha,import_time,latency
10123,eb5def9c51dc222d2862538d322c92ad91f3bde3,2018-04-27T21:26:15+00:00,269.1333333333333
10124,da4263f7ba145095b6ae138168a6d2d7ff0b8ff2,2018-04-21T02:27:46+00:00,305.1166666666667
10127,130cbcd43d39da3f8646a4d880089f64c902ad54,2018-03-23T07:59:44+00:00,701.3166666666667
10131,83471fa87e02e3c0f95eb24070976daa3e8ec40a,2018-03-23T17:04:33+00:00,277.46666666666664
10135,6bc1d79a51206286987b6f19e59839ae5ee83507,2018-05-01T02:15:31+00:00,101.9
10137,380c427ff4f05f31dd8890d8496ff5e3f05e8cae,2018-11-28T07:42:02+00:00,1996.9166666666667
10147,83471fa87e02e3c0f95eb24070976daa3e8ec40a,2018-03-23T17:04:33+00:00,235.31666666666666
10148,c1772a82236f6437266a4029a1938b6344ab4462,2018-04-17T16:53:38+00:00,442.01666666666665
10149,82be89cec654871a1ba8277151b966b7ec4a4be4,2018-12-06T18:00:44+00:00,526.85
10151,31261077b12b18ea593e50a870304dafe6a11458,2018-03-23T22:10:57+00:00,270.56666666666666
10155,83471fa87e02e3c0f95eb24070976daa3e8ec40a,2018-03-23T17:04:33+00:00,366.8333333333333
10159,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1417.1666666666667
10164,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1597.8
10166,74b22118f9a73017651aee7820494df351cf3d85,2018-05-01T17:03:46+00:00,233.96666666666667
10167,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2437.9
10169,b71384fb3516325ea04a7182363338089e52fb5b,2018-03-28T11:06:05+00:00,145.58333333333334
10170,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,741.4666666666667
10172,0ffe175653901d524184c469d2783e3c26b207db,2018-04-01T01:06:49+00:00,138.16666666666666
10175,7ca03df797dac4940ba0642da0241216cddca802,2018-03-27T03:41:13+00:00,774.0
10180,36a4eb9029f33170885029536a7f4d4fdd14166d,2018-03-27T18:30:19+00:00,243.16666666666666
10183,7ca03df797dac4940ba0642da0241216cddca802,2018-03-27T03:41:13+00:00,543.6333333333333
10184,7ca03df797dac4940ba0642da0241216cddca802,2018-03-27T03:41:13+00:00,388.98333333333335
10188,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2620.7833333333333
10192,bc8ff4af92453a094c34a8d96ed01b25d921da64,2018-04-27T09:49:40+00:00,153.68333333333334
10203,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1948.35
10204,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1949.7833333333333
10206,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1950.4
10209,d15f835afd631511d19906532a3a5ff2adb74173,2018-05-14T17:31:23+00:00,138.21666666666667
10215,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1598.2666666666667
10216,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1618.3166666666666
10218,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1578.8
10220,6a1338558bff5f6366379e413bcec1148a100ff4,2018-04-13T04:34:23+00:00,2165.633333333333
10221,bfe2b43ee974534cbaf6f5c8ec4effc8d72847c3,2018-07-05T21:40:42+00:00,503.03333333333336
10222,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1544.7833333333333
10226,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,1286.0833333333333
10231,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2285.0
10232,d228b8951c01a73e17b6864029372b5e3c0ac73f,2018-03-30T06:38:36+00:00,129.81666666666666
10233,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,321.26666666666665
10234,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,341.53333333333336
10237,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,504.1166666666667
10238,1eaa59e0a022fca35165a34729f2b3b9305dd05b,2018-04-04T13:55:51+00:00,460.9
10240,1552f52fd22fde7c8cc7057371a44a3484748cf6,2018-03-29T22:08:08+00:00,212.36666666666667
10249,84f875569fea3ed5d675a5a20100787cc713cb90,2018-08-09T10:53:37+00:00,2844.016666666667
10250,f760268934655fa724094f759d9273e68c87a8db,2018-06-06T00:51:56+00:00,754.5666666666667
10258,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2517.3
10259,8eda42889581706bf2d49d6b5426ac186519661f,2018-03-31T01:28:43+00:00,191.23333333333332
10261,e9c441ff2f9954aedb2fec25cfc338b5898dec8c,2018-05-29T09:49:13+00:00,1223.9166666666667
10263,703a4a7e9d4cd7e0fd70098264a725413c296517,2018-04-13T21:06:45+00:00,220.18333333333334
10266,1dde62c2e39885f047f7f87d1821acf24852da64,2018-04-02T13:45:09+00:00,320.98333333333335
10267,e939961b1e4ee1a675e6b109112924cab351d673,2018-04-03T17:54:38+00:00,199.65
10271,1f441fa701d6cef1cd8937c91e5f41462162b37a,2018-11-03T07:13:46+00:00,211.98333333333332
10272,5483d9d3cc3b642bbcf6dc5bddf09ab644fbc06c,2018-04-03T03:36:16+00:00,162.2
10273,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,933.5333333333333
10274,1604d4788d36b81b38dd55648d4de1aa51f41965,2018-05-26T14:18:36+00:00,112.4
10275,84f875569fea3ed5d675a5a20100787cc713cb90,2018-08-09T10:53:37+00:00,2841.4166666666665
10276,0fd5eef3718091afed6304933f6103b0fff647bc,2018-04-03T21:20:06+00:00,394.56666666666666
