Month,50th percentile,90th percentile,Average,PRs,% meeting SLA (60 mins)
2017-04,128080.16666666667,128080.16666666667,128080.16666666667,1,0.0
2017-06,27565.849999999999,52466.08666666667,34295.150000000001,5,0.0
2017-07,13.833333333333334,475.7166666666667,215.36122448979589,49,0.75510204081632648
2017-08,14.699999999999999,853.24000000000296,394.00449999999995,100,0.85999999999999999
2017-09,26.699999999999999,99.570000000000007,71.531168831168856,77,0.83116883116883122
2017-10,29.016666666666666,208.41666666666666,442.56975308641984,81,0.79012345679012341
2017-11,22.666666666666668,75.673333333333346,280.70638629283496,107,0.85046728971962615
2017-12,23.850000000000001,41.969999999999999,113.97807017543859,95,0.96842105263157896
2018-01,31.616666666666667,710.42666666666696,486.67475049900219,167,0.6586826347305389
2018-02,28.916666666666668,89.931666666666672,55.510606060606086,132,0.81818181818181823
